캠핑(야영)장명,캠핑(야영)장구분,위도,경도,주소,일반야영장수,자동차야영장,글램핑,카라반,화장실,샤워실,개수대,소화기,방화수,방화사,화재감지기,기타부대시설 1,기타부대시설 2,데이터기준일자,인허가일자
천안OK캠핑 ,일반야영장,36.8204819,127.2754432,충청남도 천안시 동남구 북면 오곡리 ,4,0,0,0,1,1,3,9,0,0,0,"전기,장작판매,온수,트렘폴린,물놀이장,운동시설",,2019-07-12,2016-02-17
천태산 오토캠핑장 ,일반야영장,35.4320914,128.9275253,경상남도 양산시 원동면 영포리 ,0,30,0,0,1,1,2,0,0,0,0,"전기,장작판매,온수",,2019-07-12,2016-05-02
천하마을야영장 ,일반야영장,34.7242982,128.0132576,경남 남해군 미조면 송정리 1379 외2 ,7,0,0,0,1,1,1,0,0,0,0,,,2019-07-12,2016-07-25
천하장사골야영장 ,일반야영장,35.3814083,128.1756466,"경남 의령군 대의면 신전리 276,277 ",10,0,0,0,1,1,1,7,0,0,0,"전기,온수,물놀이장,놀이터,산책로,운동장",,2019-07-12,2016-11-09
철원가산농원캠핑장 ,"일반야영장,자동차야영장,카라반",38.2249605,127.2654877,강원도 철원군 갈말읍 상사리 ,5,60,0,15,4,2,2,0,0,0,0,"전기,온수,물놀이장,놀이터,운동시설","족구장, 농구장",2019-07-12,2015-05-15
철원 평화마을 서울캠핑장 ,자동차야영장,38.3012236,127.3989901,강원도 철원군 근북면 유곡리 ,0,0,0,0,0,0,0,0,0,0,0,"전기,온수,산책로,마트.편의점",,2019-07-12,2015-12-07
첫마을 관광타운,"일반야영장,카라반",34.3711164,126.6573705,전라남도 완도군 군외면 대문리 ,10,0,0,8,1,1,3,3,0,0,0,"전기,장작판매,온수,물놀이장,놀이터,마트.편의점",식당,2019-07-12,2015-06-09
첫물내기야영장 ,자동차야영장,37.3178616,128.2603527,강원 영월군 무릉도원면 무릉법흥로 516,10,0,0,0,1,1,1,8,0,0,0,"전기,무선인터넷,온수",,2019-07-12,2016-07-20
청간정 콘도 카라반 캠핑장 ,카라반,38.2408215,128.5740295,강원도 고성군 토성면 용촌리 ,0,0,0,15,0,0,0,0,0,0,0,"전기,무선인터넷,놀이터,운동시설",,2019-07-12,2016-07-08
청계동 솔바람야영장,일반야영장,35.3071016,127.2629603,전라남도 곡성군 곡성읍 신기리 산159-1,34,0,0,0,2,1,2,30,0,0,0,"전기,온수,놀이터,운동시설,마트.편의점",,2019-07-12,2017-04-06
청광새들녘캠핑,일반야영장,35.1150709,128.3086561,경상남도 고성군 개천면 영회로 1296 ,0,40,0,0,1,1,1,20,0,0,20,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,마트.편의점",계곡에 물놀이를 할 수 있게  만들어 놓음.자연막그늘도 있음,2019-07-12,2015-04-24
청담 관광농원 ,일반야영장,37.8860365,127.284532,경기도 포천시 화현면 명덕리 ,0,40,0,0,2,2,2,20,0,0,0,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점",,2019-07-12,2015-11-24
청도 지오오토캠핑장 ,일반야영장,35.6472933,128.848812,경상북도 청도군 매전면 호화리 ,20,0,0,0,1,1,1,10,1,0,0,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설",,2019-07-12,2015-08-26
청도 힐링 오토캠핑장 ,자동차야영장,35.6137,128.8071383,경상북도 청도군 매전면 지전리 ,0,42,0,0,2,1,2,20,0,0,0,"전기,무선인터넷,온수,물놀이장,운동시설,마트.편의점",,2019-07-12,2016-02-05
청도감꽃 국민여가캠핑장 (청도군농촌체험관광센터 아가야 체험가자),"일반야영장,카라반",35.6126733!,128.8223722,경상북도 청도군 매전면 청매로 825,8,0,0,4,2,2,2,8,0,0,4,"전기,무선인터넷,운동시설",숙박시설,2019-07-12,2017-02-28
청도군 자전거공원 캠핑장,일반야영장,35.587208,128.7662481,청도군 청도읍 유호리 39-5,18,0,0,0,1,2,1,13,0,0,0,"전기,마트.편의점",,2019-07-12,2017-06-09
청도 그린나래 오토캠핑장,일반야영장,35.6162297,128.8038677,경상북도 청도군 매전면 송원리 ,0,35,0,0,8,4,2,18,0,2,4,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점",,2019-07-12,2016-06-21
청도글램핑 ,글램핑,35.7197766,128.5732591,경상북도 청도군 각북면 금천리 ,0,0,15,0,2,2,15,15,3,3,15,"전기,무선인터넷,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점",,2019-07-12,
